type,original_type
0,אשכוליות
1,בטטות
2,בצלים
3,גזרים
4,חסה
5,חצילים
6,כרוב
7,לימונים
8,מלפפונים
9,סלק
10,עגבניות
11,פלפלים
12,צנונית
13,קולורבי
14,קישואים
15,קלמנטינות
16,"תפו""א"
17,תפוזים
18,תפוחים
